,0
0,25.083
1,25.229
2,25.099
3,24.99
4,25.192
5,24.99
6,25.104
7,25.073
8,25.192
9,25.135
10,25.042
11,25.109
12,25.125
13,25.099
14,25.172
15,25.146
16,25.099
17,25.12
18,25.213
19,25.104
20,25.26
21,25.322
22,25.348
23,25.369
24,25.364
25,25.353
26,25.338
27,25.452
28,25.343
29,25.488
30,25.478
31,25.457
32,25.535
33,25.581
34,25.7
35,25.803
36,25.788
37,26.066
38,26.18
39,26.519
40,26.339
41,26.452
42,26.637
43,26.652
44,26.785
45,26.806
46,26.913
47,27.081
48,27.061
49,27.066
50,26.959
51,26.984
52,26.913
53,26.964
54,26.995
55,26.913
56,26.816
57,26.882
58,26.867
59,26.836
60,26.698
61,26.713
62,26.923
63,26.744
64,26.703
65,26.754
66,26.862
67,26.713
68,27.01
69,27.107
70,27.02
71,27.163
72,27.173
73,27.178
74,27.397
75,27.514
76,27.672
77,27.555
78,27.824
79,27.95
80,28.107
81,28.223
82,28.314
83,28.445
84,28.873
85,28.958
86,29.199
87,29.558
88,29.718
89,29.857
90,30.64
91,31.408
92,32.171
93,32.292
94,32.535
95,32.7
96,32.759
97,32.725
98,32.516
99,32.273
100,32.117
101,31.531
102,30.788
103,29.718
104,28.787
105,28.067
106,27.778
107,27.712
108,27.377
109,27.224
110,27.132
111,26.995
112,26.984
113,27.112
114,26.908
115,26.887
116,26.806
117,26.79
118,26.703
119,26.678
120,26.678
121,26.637
122,26.642
123,26.647
124,26.606
125,26.421
126,26.447
127,26.406
128,26.319
129,26.467
130,26.411
131,26.288
132,26.205
133,26.19
134,26.19
135,26.247
136,26.092
137,26.066
138,26.205
139,26.03
140,25.994
141,25.927
142,25.871
143,25.938
144,25.86
145,25.871
146,25.943
147,25.855
148,25.886
149,25.798
150,25.742
151,25.721
152,25.762
153,25.71
154,25.726
155,25.788
156,25.803
157,25.721
158,25.617
159,25.674
160,24.964
161,25.099
162,25.031
163,24.969
164,25.125
165,25.135
166,25.094
167,25.078
168,25.208
169,25.13
170,25.12
171,25.094
172,25.13
173,25.12
174,25.042
175,25.109
176,25.198
177,25.125
178,25.265
179,25.224
180,25.156
181,25.291
182,25.327
183,25.405
184,25.244
185,25.359
186,25.431
187,25.478
188,25.498
189,25.54
190,25.488
191,25.623
192,25.643
193,25.576
194,25.731
195,25.829
196,25.948
197,26.066
198,26.283
199,26.241
200,26.288
201,26.606
202,26.678
203,26.77
204,26.867
205,26.969
206,27.087
207,27.194
208,27.24
209,27.311
210,27.316
211,27.168
212,27.285
213,27.117
214,27.087
215,27.092
216,27.102
217,26.995
218,26.928
219,27.0
220,26.969
221,26.785
222,27.127
223,26.933
224,26.811
225,26.867
226,27.02
227,27.01
228,27.087
229,27.255
230,27.387
231,27.341
232,27.219
233,27.397
234,27.697
235,27.626
236,27.641
237,27.733
238,27.94
239,28.067
240,28.4
241,28.511
242,28.606
243,28.873
244,29.093
245,29.138
246,29.548
247,29.942
248,30.413
249,30.556
250,31.089
251,31.482
252,31.888
253,32.171
254,32.375
255,32.395
256,32.55
257,32.56
258,32.351
259,32.141
260,31.624
261,30.995
262,30.026
263,29.304
264,28.752
265,28.304
266,27.89
267,27.596
268,27.285
269,27.29
270,27.326
271,27.357
272,27.122
273,26.969
274,26.964
275,26.867
276,26.923
277,26.806
278,26.657
279,26.621
280,26.857
281,26.652
282,26.616
283,26.611
284,26.621
