,0
0,25.089
1,25.094
2,25.104
3,25.094
4,25.089
5,25.213
6,25.073
7,25.182
8,25.089
9,25.135
10,25.125
11,25.12
12,25.12
13,25.125
14,25.042
15,25.037
16,25.011
17,25.125
18,24.99
19,25.005
20,25.005
21,24.99
22,24.953
23,25.052
24,24.755
25,24.74
26,24.828
27,24.688
28,24.807
29,24.693
30,24.588
31,24.614
32,24.578
33,24.583
34,24.547
35,24.635
36,24.578
37,24.536
38,24.641
39,24.635
40,24.552
41,24.604
42,24.724
43,24.932
44,24.927
45,24.959
46,25.182
47,25.203
48,25.286
49,25.338
50,25.561
51,25.447
52,25.705
53,25.545
54,25.664
55,25.876
56,25.86
57,26.005
58,26.072
59,26.0
60,26.041
61,26.288
62,26.375
63,26.416
64,26.416
65,26.432
66,26.385
67,26.344
68,26.56
69,26.58
70,26.667
71,26.673
72,26.673
73,26.647
74,26.867
75,26.877
76,26.995
77,27.178
78,27.29
79,27.494
80,27.672
81,27.92
82,28.193
83,28.168
84,28.395
85,28.491
86,28.586
87,28.657
88,28.742
89,28.662
90,28.662
91,28.968
92,28.848
93,28.767
94,28.833
95,28.767
96,28.561
97,28.289
98,28.168
99,27.915
100,27.885
101,27.728
102,27.458
103,27.53
104,27.377
105,27.199
106,27.234
107,27.081
108,27.015
109,26.933
110,26.765
111,26.678
112,26.688
113,26.56
114,26.616
115,26.647
116,26.616
117,26.539
118,26.38
119,26.483
120,26.421
121,26.175
122,26.334
123,26.257
124,26.169
125,26.205
126,26.123
127,26.128
128,26.164
129,26.077
130,26.041
131,26.015
132,26.025
133,25.984
134,26.015
135,26.005
136,25.963
137,25.922
138,25.829
139,25.876
140,25.793
141,25.845
142,25.907
143,25.917
144,25.989
145,25.891
146,25.881
147,25.902
148,25.979
149,26.0
150,25.989
151,26.036
152,25.886
153,26.0
154,26.103
155,25.953
156,25.938
157,25.953
158,25.979
159,25.953
160,24.979
161,25.135
162,25.057
163,25.172
164,25.135
165,25.141
166,25.089
167,25.115
168,25.057
169,25.146
170,25.021
171,25.115
172,25.042
173,25.057
174,25.125
175,25.094
176,25.083
177,25.135
178,25.083
179,25.005
180,25.052
181,25.042
182,24.932
183,24.854
184,24.734
185,24.75
186,24.714
187,24.703
188,24.693
189,24.724
190,24.724
191,24.604
192,24.594
193,24.557
194,24.479
195,24.5
196,24.51
197,24.541
198,24.609
199,24.531
200,24.52
201,24.661
202,24.698
203,24.844
204,25.146
205,25.089
206,25.135
207,25.218
208,25.436
209,25.405
210,25.416
211,25.695
212,25.757
213,25.767
214,25.742
215,25.772
216,25.994
217,26.015
218,26.056
219,26.113
220,26.226
221,26.226
222,26.442
223,26.524
224,26.616
225,26.56
226,26.596
227,26.514
228,26.544
229,26.688
230,26.626
231,26.903
232,26.862
233,26.908
234,27.02
235,27.112
236,27.153
237,27.387
238,27.601
239,27.733
240,27.905
241,28.133
242,28.289
243,28.435
244,28.405
245,28.375
246,28.526
247,28.647
248,28.687
249,28.792
250,28.697
251,28.792
252,28.923
253,28.777
254,28.813
255,28.888
256,28.712
257,28.445
258,28.501
259,28.279
260,28.072
261,27.834
262,27.646
263,27.651
264,27.535
265,27.275
266,27.29
267,27.275
268,27.061
269,27.056
270,26.913
271,26.872
272,26.872
273,26.847
274,26.626
275,26.673
276,26.626
277,26.462
278,26.55
279,26.457
280,26.416
281,26.375
282,26.344
283,26.411
284,26.355
285,26.226
286,26.216
287,26.19
