,0
0,25.224
1,25.25
2,25.161
3,25.229
4,25.27
5,25.187
6,25.307
7,25.218
8,25.276
9,25.312
10,25.25
11,25.312
12,25.353
13,25.369
14,25.447
15,25.39
16,25.431
17,25.395
18,25.426
19,25.473
20,25.467
21,25.54
22,25.54
23,25.452
24,25.483
25,25.581
26,25.519
27,25.648
28,25.623
29,25.633
30,25.747
31,25.736
32,25.71
33,25.7
34,25.865
35,25.912
36,25.912
37,25.953
38,25.932
39,26.061
40,26.03
41,26.082
42,25.943
43,26.108
44,26.087
45,26.051
46,26.236
47,26.262
48,26.293
49,26.349
50,26.344
51,26.298
52,26.303
53,26.437
54,26.319
55,26.503
56,26.432
57,26.606
58,26.698
59,26.724
60,26.729
61,26.77
62,26.893
63,26.944
64,26.954
65,27.02
66,27.025
67,27.143
68,27.194
69,27.275
70,27.29
71,27.275
72,27.458
73,27.804
74,27.824
75,28.117
76,28.561
77,28.802
78,29.033
79,29.304
80,29.344
81,29.568
82,29.668
83,29.713
84,29.708
85,29.443
86,29.138
87,28.813
88,28.591
89,28.476
90,28.455
91,28.284
92,28.133
93,28.203
94,27.991
95,27.966
96,27.895
97,28.016
98,27.809
99,27.814
100,27.885
101,27.804
102,27.748
103,27.738
104,27.748
105,27.799
106,27.743
107,27.758
108,27.733
109,27.656
110,27.728
111,27.626
112,27.601
113,27.626
114,27.672
115,27.484
116,27.631
117,27.575
118,27.397
119,27.524
120,27.423
121,27.392
122,27.535
123,27.402
124,27.448
125,27.397
126,27.499
127,27.301
128,27.479
129,27.423
130,27.443
131,27.514
132,27.499
133,27.408
134,27.413
135,27.224
136,27.392
137,27.245
138,27.245
139,27.27
140,27.255
141,27.499
142,27.392
143,27.377
144,27.352
145,27.285
146,27.199
147,27.255
148,27.107
149,27.046
150,26.969
151,26.872
152,26.754
153,26.836
154,26.918
155,26.775
156,26.719
157,26.77
158,26.616
159,26.816
160,25.208
161,25.239
162,25.27
163,25.291
164,25.26
165,25.161
166,25.213
167,25.239
168,25.333
169,25.327
170,25.359
171,25.493
172,25.488
173,25.452
174,25.509
175,25.395
176,25.39
177,25.405
178,25.41
179,25.426
180,25.405
181,25.4
182,25.576
183,25.416
184,25.488
185,25.524
186,25.571
187,25.607
188,25.617
189,25.638
190,25.71
191,25.747
192,25.891
