,0
0,25.467
1,25.416
2,25.566
3,25.571
4,25.4
5,25.4
6,25.452
7,25.473
8,25.529
9,25.421
10,25.529
11,25.576
12,25.628
13,25.519
14,25.488
15,25.426
16,25.364
17,25.192
18,25.224
19,25.218
20,25.198
21,25.239
22,25.369
23,25.333
24,25.374
25,25.436
26,25.638
27,25.628
28,25.638
29,25.602
30,25.902
31,25.793
32,25.871
33,25.85
34,26.005
35,26.025
36,26.036
37,25.932
38,26.005
39,25.938
40,26.041
41,25.917
42,26.072
43,26.046
44,25.974
45,26.01
46,26.077
47,26.149
48,26.144
49,26.082
50,26.087
51,26.066
52,26.056
53,26.041
54,26.159
55,26.077
56,26.195
57,26.267
58,26.432
59,26.421
60,26.601
61,26.719
62,26.913
63,27.122
64,27.387
65,27.738
66,27.89
67,27.95
68,27.829
69,27.55
70,27.061
71,26.969
72,26.76
73,26.498
74,26.298
75,26.411
76,26.349
77,26.241
78,26.247
79,26.262
80,26.247
81,26.262
82,26.257
83,26.164
84,26.185
85,26.061
86,26.139
87,26.103
88,26.195
89,26.072
90,26.236
91,26.298
92,26.149
93,26.19
94,26.077
95,25.994
96,26.221
97,26.113
98,26.103
99,26.0
100,26.118
101,26.041
102,26.02
103,26.175
104,26.03
105,25.979
106,25.948
107,25.902
108,25.922
109,25.85
110,25.742
111,25.71
112,25.535
113,25.405
114,24.964
115,24.358
116,23.897
117,23.87
118,23.591
119,23.523
120,23.47
121,23.576
122,23.591
123,23.839
124,24.117
125,24.625
126,25.27
127,25.566
128,25.747
129,25.948
130,25.932
131,25.932
132,25.938
133,26.005
134,25.865
135,25.865
136,25.891
137,25.927
138,25.912
139,26.01
140,25.984
141,25.948
142,25.932
143,25.876
144,25.871
145,25.871
146,25.86
147,25.716
148,25.824
149,25.824
150,25.824
151,25.809
152,25.855
153,25.742
154,25.778
155,25.865
156,25.902
157,25.845
158,25.731
159,25.829
160,25.514
161,25.55
162,25.54
163,25.457
164,25.478
165,25.441
166,25.592
167,25.566
168,25.545
169,25.638
170,25.612
171,25.576
172,25.731
173,25.716
174,25.685
175,25.483
176,25.431
177,25.384
178,25.364
179,25.312
180,25.416
181,25.343
182,25.348
183,25.39
184,25.39
185,25.421
186,25.586
187,25.731
188,25.793
189,25.767
190,25.912
191,25.963
192,25.948
193,26.0
194,26.097
195,26.051
196,26.041
197,26.056
198,26.226
199,26.216
200,26.19
201,26.154
202,26.041
203,26.108
204,26.164
205,26.087
206,26.036
207,26.241
208,26.175
209,26.139
210,26.164
211,26.118
212,26.139
213,26.154
214,26.19
215,26.133
216,26.211
217,26.514
218,26.529
219,26.555
220,26.596
221,26.847
222,27.02
223,27.28
224,27.494
225,27.93
226,28.097
227,28.239
228,28.173
229,27.788
230,27.474
231,27.097
