,0
0,25.384
1,25.4
2,25.447
3,25.39
4,25.54
5,25.504
6,25.504
7,25.576
8,25.555
9,25.586
10,25.71
11,25.623
12,25.679
13,25.638
14,25.679
15,25.726
16,25.752
17,25.721
18,25.731
19,25.731
20,25.803
21,25.855
22,25.922
23,25.917
24,25.938
25,25.912
26,25.979
27,25.907
28,26.015
29,25.974
30,26.0
31,26.195
32,25.974
33,26.082
34,26.18
35,26.092
36,26.144
37,26.205
38,26.221
39,26.185
40,26.257
41,26.272
42,26.252
43,26.216
44,26.257
45,26.272
46,26.267
47,26.319
48,26.339
49,26.231
50,26.293
51,26.252
52,26.257
53,26.401
54,26.437
55,26.432
56,26.38
57,26.447
58,26.432
59,26.36
60,26.529
61,26.437
62,26.421
63,26.416
64,26.488
65,26.426
66,26.478
67,26.467
68,26.462
69,26.375
70,26.401
71,26.416
72,26.385
73,26.339
74,26.339
75,26.334
76,26.334
77,26.375
78,26.195
79,26.293
80,26.355
81,26.37
82,26.267
83,26.375
84,26.277
85,26.385
86,26.293
87,26.319
88,26.267
89,26.2
90,26.252
91,26.334
92,26.221
93,26.247
94,26.108
95,26.149
96,26.211
97,26.169
98,26.149
99,26.139
100,26.288
101,26.092
102,26.113
103,26.133
104,26.077
105,26.216
106,26.066
107,26.133
108,25.979
109,26.025
110,25.948
111,26.113
112,25.943
113,25.953
114,25.902
115,25.922
116,26.01
117,26.005
118,26.103
119,25.994
120,25.948
121,26.087
122,26.092
123,25.855
124,26.03
125,26.005
126,25.876
127,25.989
128,26.082
129,25.927
130,25.943
131,25.953
132,25.994
133,25.86
134,25.845
135,25.927
136,25.907
137,26.041
138,25.917
139,25.927
140,25.938
141,26.01
142,25.984
143,26.03
144,26.061
145,26.072
146,26.015
147,26.092
148,26.221
149,26.082
150,26.128
151,26.159
152,26.139
153,26.066
154,26.082
155,25.912
156,26.097
157,26.226
158,26.139
159,26.283
160,25.348
161,25.359
162,25.416
163,25.555
164,25.4
165,25.514
166,25.483
167,25.498
168,25.643
169,25.602
170,25.597
171,25.633
172,25.586
173,25.633
174,25.824
175,25.814
176,25.752
177,25.705
178,25.71
179,25.84
180,25.86
181,25.855
182,25.907
183,25.886
184,25.943
185,25.896
186,25.907
187,25.84
188,26.01
189,26.066
190,26.036
191,26.041
192,26.19
193,26.123
194,26.149
195,26.123
196,26.257
197,26.123
198,26.252
199,26.236
200,26.211
201,26.272
202,26.236
203,26.236
204,26.355
205,26.221
206,26.319
207,26.262
208,26.355
209,26.385
210,26.319
211,26.288
212,26.231
213,26.344
214,26.293
215,26.36
216,26.426
217,26.349
218,26.221
219,26.447
220,26.375
221,26.457
222,26.56
223,26.493
224,26.36
225,26.457
226,26.339
227,26.447
228,26.529
229,26.457
230,26.457
231,26.37
232,26.462
233,26.375
234,26.411
235,26.442
236,26.401
237,26.247
238,26.365
239,26.421
240,26.365
241,26.334
242,26.313
243,26.375
244,26.267
245,26.339
246,26.37
247,26.344
248,26.308
249,26.303
250,26.329
251,26.349
252,26.39
253,26.288
254,26.375
255,26.211
256,26.324
257,26.262
258,26.164
259,26.267
260,26.128
261,26.19
262,26.154
263,26.113
264,26.2
265,26.205
266,26.133
267,26.066
268,25.938
269,26.128
270,25.927
271,26.113
272,26.051
273,26.046
274,25.984
275,26.082
276,26.051
277,25.86
278,26.061
279,25.994
280,25.984
281,25.994
282,26.015
283,25.922
284,25.912
285,25.819
286,25.912
287,26.005
288,25.932
289,25.958
290,26.041
291,25.943
292,25.989
293,25.989
294,26.092
295,25.922
296,25.896
297,25.881
298,26.051
299,26.092
300,25.974
301,25.938
302,26.061
303,26.051
304,26.092
305,26.087
306,26.19
307,26.046
308,26.108
309,26.257
310,26.139
311,26.164
312,26.164
313,26.051
314,26.231
315,26.241
316,26.277
317,26.272
318,26.37
319,26.406
320,25.405
321,25.416
322,25.509
323,25.364
324,25.571
325,25.421
326,25.498
327,25.509
328,25.659
329,25.71
330,25.545
331,25.674
332,25.669
333,25.778
334,25.705
335,25.726
336,25.788
337,25.798
338,25.767
339,25.752
340,25.855
341,25.896
342,25.984
343,25.958
344,25.917
345,25.907
346,25.953
347,25.984
348,25.984
349,25.989
350,26.036
351,26.216
352,26.015
353,25.953
354,26.169
355,26.108
356,26.082
357,26.066
358,26.257
359,26.247
360,26.211
361,26.195
362,26.226
363,26.241
364,26.319
365,26.252
366,26.283
367,26.365
368,26.37
369,26.283
370,26.262
371,26.277
372,26.288
373,26.293
374,26.38
375,26.349
376,26.401
377,26.421
378,26.339
379,26.447
380,26.432
381,26.406
382,26.452
383,26.457
384,26.462
385,26.447
386,26.442
387,26.498
388,26.452
389,26.509
390,26.452
391,26.344
392,26.329
393,26.344
394,26.38
