,0
0,25.089
1,25.068
2,25.083
3,25.089
4,25.125
5,25.104
6,25.115
7,24.953
8,25.042
9,25.011
10,25.063
11,25.047
12,25.115
13,25.224
14,25.099
15,25.234
16,25.281
17,25.234
18,25.229
19,25.265
20,25.301
21,25.239
22,25.213
23,25.224
24,25.208
25,25.244
26,25.234
27,25.353
28,25.286
29,25.224
30,25.198
31,25.192
32,25.286
33,25.213
34,25.182
35,25.208
36,25.317
37,25.177
38,25.063
39,25.063
40,25.016
41,24.974
42,24.88
43,24.865
44,24.755
45,24.682
46,24.473
47,24.442
48,24.259
49,24.327
50,24.159
51,24.248
52,24.259
53,24.264
54,24.243
55,24.353
56,24.594
57,24.641
58,24.771
59,24.938
60,24.834
61,24.854
62,24.87
63,24.974
64,24.886
65,24.886
66,25.016
67,24.823
68,24.854
69,24.781
70,25.037
71,24.901
72,25.031
73,25.005
74,25.094
75,25.052
76,25.078
77,24.979
78,25.068
79,25.161
80,25.125
81,25.161
82,25.281
83,25.405
84,25.4
85,25.416
86,25.514
87,25.623
88,25.519
89,25.669
90,25.664
91,25.809
92,26.0
93,26.03
94,25.974
95,25.994
96,26.19
97,26.257
98,26.39
99,26.426
100,26.406
101,26.432
102,26.498
103,26.657
104,26.872
105,27.081
106,27.204
107,27.392
108,27.367
109,27.321
110,27.423
111,27.117
112,27.051
113,26.806
114,26.836
115,26.411
116,26.257
117,25.871
118,25.674
119,25.483
120,25.322
121,25.187
122,25.234
123,25.166
124,25.172
125,25.141
126,25.25
127,25.151
128,25.135
129,25.109
130,25.203
131,25.229
132,25.301
133,25.26
134,25.208
135,25.41
136,25.301
137,25.317
138,25.27
139,25.421
140,25.421
141,25.369
142,25.395
143,25.395
144,25.441
145,25.333
146,25.426
147,25.457
148,25.405
149,25.343
150,25.276
151,25.457
152,25.431
153,25.364
154,25.488
155,25.364
156,25.535
157,25.581
158,25.514
159,25.509
160,25.011
161,25.094
162,25.016
163,24.99
164,25.089
165,25.213
166,25.031
167,24.849
168,25.104
169,25.026
170,25.026
171,25.042
172,25.26
173,25.089
174,25.099
175,25.208
176,25.218
177,25.25
178,25.234
179,25.229
180,25.41
181,25.265
182,25.229
183,25.25
184,25.234
185,25.192
186,25.286
187,25.213
188,25.187
189,25.255
190,25.244
191,25.296
192,25.203
193,25.234
194,25.208
195,25.255
196,25.146
197,25.135
198,25.12
199,25.037
200,25.12
201,25.037
202,24.938
203,24.813
204,24.792
205,24.656
206,24.526
207,24.5
208,24.332
209,24.411
210,24.238
211,24.295
212,24.295
213,24.301
214,24.332
215,24.562
216,24.703
217,24.672
218,24.839
219,25.016
220,24.932
221,24.922
222,24.959
223,25.021
224,24.995
225,24.99
226,24.86
227,24.922
228,25.031
229,24.844
230,24.959
231,25.021
232,25.005
233,25.047
234,25.239
235,25.135
236,25.115
237,25.047
238,25.255
239,25.27
240,25.301
241,25.359
242,25.457
243,25.504
244,25.431
245,25.447
246,25.576
247,25.643
248,25.654
249,25.767
250,25.834
251,25.979
252,26.005
253,26.128
254,26.19
255,26.324
256,26.288
257,26.437
258,26.509
259,26.565
260,26.667
261,26.652
262,26.693
263,26.898
264,27.087
265,27.367
266,27.484
267,27.596
268,27.56
269,27.453
270,27.377
271,27.168
272,27.005
273,26.841
274,26.795
275,26.37
276,26.175
277,25.974
278,25.638
279,25.229
280,25.156
281,25.281
282,25.161
283,25.109
284,25.068
285,25.135
286,25.203
287,25.052
288,25.109
289,25.172
290,25.13
291,25.125
292,25.296
293,25.156
294,25.276
295,25.286
296,25.431
297,25.301
298,25.452
299,25.405
300,25.473
301,25.374
302,25.462
303,25.447
304,25.281
305,25.327
306,25.41
307,25.473
308,25.369
309,25.369
310,25.436
311,25.457
312,25.483
313,25.291
314,25.576
315,25.447
316,25.353
317,25.452
318,25.441
319,25.452
320,25.068
321,25.057
322,25.104
323,25.005
324,25.047
325,25.026
326,24.995
327,25.099
328,25.031
329,24.974
330,25.115
331,25.151
332,25.104
333,25.244
334,25.208
335,25.208
336,25.213
337,25.135
338,25.224
339,25.244
340,25.229
341,25.276
342,25.296
343,25.26
344,25.229
345,25.141
346,25.244
347,25.239
348,25.296
349,25.244
350,25.239
351,25.229
352,25.187
353,25.26
354,25.291
355,25.198
356,25.213
357,25.156
358,25.151
359,25.042
360,25.068
361,24.969
362,24.912
363,24.969
364,24.886
365,24.792
366,24.604
367,24.547
368,24.473
369,24.432
370,24.547
371,24.384
372,24.374
373,24.374
374,24.479
375,24.536
376,24.688
377,24.745
378,24.948
379,25.011
380,25.052
381,25.125
382,25.161
383,25.172
384,25.099
385,24.974
386,25.099
387,25.089
388,25.078
389,25.031
390,25.089
391,25.12
392,25.141
393,25.104
394,25.234
395,25.104
396,25.441
397,25.343
398,25.198
399,25.364
400,25.333
401,25.312
402,25.436
403,25.426
404,25.483
405,25.561
406,25.767
407,25.716
408,25.881
409,26.056
410,25.989
411,26.18
412,26.37
413,26.36
414,26.411
415,26.498
416,26.56
417,26.698
418,26.688
419,26.795
420,26.78
421,26.8
422,27.015
423,27.189
424,27.413
425,27.677
426,27.799
427,27.672
428,27.646
429,27.499
430,27.54
431,27.255
432,27.138
433,26.99
434,26.708
435,26.462
436,26.139
437,25.638
438,25.436
439,25.441
440,25.244
441,25.234
442,25.146
443,25.13
444,25.182
445,25.141
446,25.156
