,0
0,25.426
1,25.436
2,25.483
3,25.457
4,25.416
5,25.447
6,25.467
7,25.457
8,25.473
9,25.488
10,25.447
11,25.369
12,25.291
13,25.286
14,25.364
15,25.27
16,25.25
17,25.203
18,25.229
19,25.198
20,25.031
21,25.026
22,24.886
23,24.823
24,24.854
25,24.646
26,24.594
27,24.384
28,24.353
29,24.175
30,23.939
31,23.813
32,23.844
33,23.902
34,23.834
35,23.902
36,23.923
37,23.991
38,23.976
39,24.206
40,24.28
41,24.51
42,24.661
43,24.932
44,24.886
45,24.927
46,25.213
47,25.395
48,25.343
49,25.473
50,25.54
51,25.762
52,25.726
53,25.778
54,25.907
55,25.876
56,26.036
57,26.036
58,26.108
59,26.195
60,26.252
61,26.277
62,26.252
63,26.241
64,26.467
65,26.426
66,26.606
67,26.478
68,26.555
69,26.575
70,26.688
71,26.673
72,26.775
73,26.877
74,26.852
75,26.852
76,26.99
77,27.01
78,27.036
79,27.01
80,26.852
81,27.061
82,27.036
83,26.984
84,27.168
85,27.087
86,27.163
87,27.143
88,27.051
89,27.066
90,27.087
91,26.857
92,27.138
93,26.928
94,26.841
95,26.806
96,26.765
97,26.678
98,26.749
99,26.503
100,26.606
101,26.452
102,26.457
103,26.421
104,26.283
105,26.355
106,26.375
107,26.355
108,26.37
109,26.216
110,26.298
111,26.133
112,26.283
113,26.139
114,26.211
115,26.195
116,26.159
117,26.077
118,26.154
119,26.195
120,26.005
121,26.02
122,25.958
123,26.051
124,25.932
125,25.994
126,25.871
127,25.963
128,25.86
129,25.793
130,25.726
131,25.71
132,25.757
133,25.643
134,25.674
135,25.752
136,25.602
137,25.561
138,25.612
139,25.561
140,25.654
141,25.576
142,25.597
143,25.555
144,25.576
145,25.659
146,25.69
147,25.695
148,25.576
149,25.669
150,25.7
151,25.716
152,25.716
153,25.747
154,25.762
155,25.752
156,25.803
157,25.736
158,25.871
159,25.814
160,25.504
161,25.379
162,25.436
163,25.457
164,25.436
165,25.473
166,25.431
167,25.447
168,25.426
169,25.473
170,25.483
171,25.452
172,25.529
173,25.405
174,25.338
175,25.333
176,25.384
177,25.192
178,25.182
179,25.244
180,25.182
181,24.99
182,25.005
183,24.896
184,24.938
185,24.787
186,24.807
187,24.604
188,24.421
189,24.196
190,24.086
191,24.07
192,23.976
193,23.933
194,23.949
195,23.912
196,23.96
197,23.912
198,24.049
199,24.254
200,24.5
201,24.452
202,24.646
203,24.813
204,24.932
205,25.063
206,25.224
207,25.467
208,25.498
209,25.493
210,25.457
211,25.628
212,25.793
213,25.922
214,26.025
215,26.046
216,26.056
217,26.267
218,26.169
219,26.236
220,26.319
221,26.298
222,26.334
223,26.344
224,26.313
225,26.534
226,26.534
227,26.498
228,26.555
229,26.724
230,26.688
231,26.882
232,26.898
233,26.903
234,27.01
235,27.076
236,27.229
237,27.301
238,27.255
239,27.285
240,27.189
241,27.402
242,27.316
243,27.402
244,27.377
245,27.357
246,27.316
247,27.352
248,27.402
249,27.224
250,27.194
251,27.087
252,27.066
253,27.0
254,27.02
255,26.995
256,26.841
257,26.693
258,26.765
259,26.78
260,26.56
261,26.514
262,26.514
263,26.406
264,26.473
265,26.272
266,26.355
267,26.36
268,26.221
269,26.308
270,26.257
271,26.241
272,26.241
273,26.128
274,26.149
275,26.185
276,26.18
277,26.123
278,26.118
279,26.19
280,26.077
281,25.953
282,25.932
283,25.902
284,25.932
285,25.912
286,25.974
287,25.912
288,25.84
289,25.772
290,25.814
291,25.803
292,25.778
293,25.679
294,25.803
295,25.793
296,25.716
297,25.576
298,25.597
299,25.571
300,25.566
301,25.576
302,25.452
303,25.514
304,25.602
305,25.447
306,25.586
307,25.55
308,25.592
309,25.648
310,25.654
311,25.659
312,25.659
313,25.731
314,25.762
315,25.762
316,25.654
317,25.762
318,25.819
319,25.809
320,25.478
321,25.524
322,25.307
323,25.478
324,25.436
325,25.447
326,25.447
327,25.478
328,25.509
329,25.441
330,25.478
331,25.519
332,25.395
333,25.41
334,25.405
335,25.338
336,25.359
337,25.348
338,25.265
339,25.26
340,25.12
341,25.166
342,25.109
343,24.896
344,24.839
345,24.787
346,24.714
347,24.682
348,24.646
349,24.316
350,24.301
351,24.07
352,24.123
353,24.002
354,23.965
355,24.049
356,24.086
357,24.17
358,24.123
359,24.227
360,24.217
361,24.421
362,24.526
363,24.865
364,24.813
365,25.057
366,25.187
367,25.218
368,25.374
369,25.555
370,25.679
371,25.772
372,25.891
373,25.953
374,26.072
375,26.231
376,26.036
377,26.149
378,26.211
379,26.267
380,26.247
381,26.401
382,26.539
383,26.503
384,26.544
385,26.58
386,26.739
387,26.585
388,26.713
389,26.862
390,26.887
391,26.918
392,27.081
393,27.117
394,27.168
395,27.01
396,27.423
397,27.423
398,27.453
399,27.413
400,27.423
401,27.463
402,27.448
403,27.57
404,27.565
405,27.601
406,27.524
407,27.423
408,27.489
409,27.453
410,27.367
411,27.275
412,27.28
413,27.138
414,27.132
415,27.015
416,27.041
417,26.918
418,26.852
419,26.719
420,26.734
421,26.58
422,26.519
423,26.488
424,26.478
425,26.329
426,26.283
427,26.442
428,26.257
429,26.37
430,26.288
431,26.308
432,26.344
433,26.2
434,26.247
435,26.329
436,26.159
437,26.211
438,26.169
439,26.077
440,26.087
441,26.005
442,26.066
443,25.969
444,25.994
445,26.046
446,25.958
447,25.896
448,25.819
449,25.814
450,25.747
451,25.7
452,25.705
453,25.628
454,25.783
455,25.612
456,25.617
457,25.633
458,25.586
459,25.431
460,25.447
461,25.426
462,25.602
463,25.457
464,25.483
465,25.457
466,25.524
467,25.519
468,25.695
469,25.571
470,25.633
471,25.607
472,25.695
473,25.597
474,25.597
475,25.674
476,25.7
477,25.705
478,25.824
479,25.762
480,25.581
481,25.441
482,25.452
483,25.436
484,25.369
485,25.483
486,25.395
487,25.478
488,25.416
489,25.535
490,25.452
491,25.478
492,25.338
493,25.488
494,25.343
495,25.177
496,25.4
497,25.348
498,25.291
499,25.182
500,25.286
501,25.192
502,25.104
503,25.073
504,24.917
505,24.912
506,24.787
507,24.693
508,24.661
509,24.51
510,24.432
511,24.185
512,24.196
513,24.054
514,24.039
515,24.154
516,24.107
517,23.976
518,24.143
519,24.086
520,24.295
521,24.285
522,24.468
523,24.614
524,24.745
525,25.083
526,25.125
527,25.276
528,25.462
529,25.488
530,25.628
531,25.716
532,25.932
533,25.912
534,26.092
535,26.19
536,26.18
537,26.164
538,26.267
539,26.334
540,26.36
541,26.457
542,26.503
543,26.493
544,26.719
545,26.626
546,26.719
547,26.744
548,26.754
549,26.908
550,26.908
551,27.051
552,27.158
553,27.194
554,27.27
555,27.413
556,27.438
557,27.626
558,27.555
559,27.601
560,27.646
561,27.601
562,27.662
563,27.687
564,27.728
565,27.809
566,27.793
567,27.758
568,27.58
569,27.555
570,27.555
571,27.453
572,27.301
573,27.168
574,27.143
575,27.127
576,27.01
577,26.913
578,26.908
579,26.765
580,26.775
581,26.729
582,26.585
583,26.591
584,26.585
585,26.519
586,26.447
587,26.324
588,26.406
589,26.349
590,26.293
591,26.236
592,26.226
593,26.247
594,26.298
595,26.288
596,26.211
597,26.293
598,26.139
599,26.128
600,26.056
601,26.02
602,25.922
603,25.902
604,26.01
605,25.912
606,25.907
607,25.757
608,25.762
609,25.705
610,25.705
611,25.69
612,25.788
613,25.586
614,25.597
615,25.524
616,25.498
617,25.566
618,25.478
619,25.467
620,25.39
621,25.25
622,25.369
623,25.436
624,25.27
625,25.462
626,25.276
627,25.359
628,25.436
629,25.4
630,25.555
631,25.659
632,25.576
633,25.695
634,25.607
635,25.736
636,25.71
637,25.69
638,25.855
639,25.969
640,25.452
641,25.478
642,25.514
643,25.447
644,25.467
645,25.488
646,25.478
647,25.473
648,25.447
649,25.467
650,25.452
651,25.384
652,25.514
653,25.39
654,25.514
655,25.353
656,25.343
657,25.322
658,25.353
659,25.213
660,25.203
661,25.229
662,25.099
663,25.13
664,25.016
665,25.037
666,24.953
667,24.87
668,24.854
669,24.729
670,24.62
671,24.484
672,24.432
673,24.264
674,24.185
675,24.217
676,24.295
677,24.254
678,24.18
679,24.264
680,24.332
681,24.437
682,24.651
683,24.614
684,24.672
685,25.011
686,25.047
687,25.281
688,25.488
689,25.592
690,25.586
691,25.834
692,25.912
693,26.082
694,26.072
695,26.144
696,26.329
697,26.365
698,26.437
699,26.447
700,26.544
701,26.503
702,26.503
703,26.58
704,26.831
705,26.841
706,26.852
707,26.913
708,26.857
709,27.102
710,27.097
711,27.306
712,27.413
713,27.413
714,27.387
715,27.524
716,27.662
717,27.631
718,27.809
719,27.844
720,27.89
721,27.768
722,27.91
723,28.047
724,28.016
725,28.183
726,27.956
727,28.092
728,27.849
729,27.667
730,27.656
731,27.641
732,27.59
733,27.367
734,27.306
735,27.229
736,27.132
737,27.025
738,27.071
739,26.903
740,26.944
741,26.831
742,26.79
743,26.688
744,26.473
745,26.667
746,26.38
747,26.293
748,26.355
749,26.442
750,26.437
751,26.293
752,26.37
753,26.36
754,26.478
755,26.308
756,26.2
757,26.195
758,26.128
759,26.164
760,26.241
761,25.871
762,26.005
763,26.025
764,25.938
765,25.902
766,25.772
767,25.829
768,25.772
769,25.71
770,25.612
771,25.669
772,25.752
773,25.592
774,25.54
775,25.638
776,25.55
777,25.514
778,25.509
779,25.405
780,25.374
781,25.436
782,25.265
783,25.322
784,25.467
785,25.416
786,25.473
787,25.514
788,25.395
789,25.447
790,25.555
791,25.545
792,25.561
793,25.669
794,25.674
795,25.654
796,25.742
797,25.819
798,25.772
799,25.834
800,25.514
801,25.395
802,25.322
803,25.421
804,25.483
805,25.452
806,25.597
807,25.436
808,25.416
809,25.473
810,25.509
811,25.504
812,25.493
813,25.612
814,25.348
815,25.353
816,25.421
817,25.276
818,25.338
819,25.239
820,25.281
821,25.208
822,25.177
823,25.141
824,25.135
825,25.021
826,25.047
827,24.917
828,24.839
829,24.807
830,24.776
831,24.651
832,24.473
833,24.458
834,24.473
835,24.369
836,24.295
837,24.269
838,24.348
839,24.442
840,24.484
841,24.447
842,24.588
843,24.734
844,24.797
845,25.141
846,24.99
847,25.317
848,25.478
849,25.571
850,25.638
851,26.005
852,26.051
853,26.164
854,26.205
855,26.257
856,26.38
857,26.503
858,26.442
859,26.555
860,26.673
861,26.601
862,26.673
863,26.729
864,26.8
865,27.005
866,27.025
867,27.046
868,27.122
869,27.092
870,27.29
871,27.326
872,27.438
873,27.606
874,27.728
875,27.672
876,27.763
877,27.885
878,28.021
879,28.021
880,28.077
881,28.001
882,28.244
883,28.244
884,28.319
885,28.345
886,28.35
887,28.284
888,28.092
889,28.102
890,27.905
891,27.94
892,27.763
893,27.641
894,27.575
895,27.474
896,27.402
897,27.331
898,27.25
899,27.051
900,27.005
901,26.872
902,26.79
903,26.585
904,26.713
905,26.678
906,26.637
907,26.575
908,26.421
909,26.493
910,26.575
911,26.365
912,26.411
913,26.473
914,26.257
915,26.2
916,26.252
917,26.18
918,26.159
919,26.108
920,26.118
921,25.994
922,25.881
923,25.974
924,25.902
925,25.943
926,25.902
927,25.876
928,25.86
929,25.876
930,25.695
931,25.654
932,25.612
933,25.617
934,25.633
935,25.561
936,25.488
937,25.498
938,25.395
939,25.374
940,25.301
941,25.364
942,25.395
943,25.276
944,25.239
945,25.301
946,25.286
947,25.208
948,25.39
949,25.296
950,25.467
951,25.457
952,25.623
953,25.483
954,25.767
955,25.669
956,25.742
957,25.747
958,25.783
959,25.716
960,25.374
961,25.41
962,25.509
963,25.457
964,25.4
965,25.498
966,25.39
967,25.405
968,25.338
969,25.467
970,25.359
971,25.493
972,25.571
973,25.685
974,25.483
975,25.41
976,25.364
977,25.421
978,25.467
979,25.203
980,25.384
981,25.281
982,25.234
983,25.166
984,25.156
985,25.146
986,25.0
987,25.187
988,25.042
989,25.016
990,24.959
991,24.818
992,24.875
993,24.635
994,24.473
995,24.635
996,24.531
997,24.52
998,24.557
999,24.416
1000,24.578
1001,24.698
1002,24.724
1003,24.74
1004,24.807
1005,24.948
1006,25.016
1007,25.286
1008,25.312
1009,25.705
1010,25.803
1011,25.943
1012,26.247
1013,26.293
1014,26.396
1015,26.37
1016,26.452
1017,26.473
1018,26.657
1019,26.795
1020,26.713
1021,26.77
1022,26.77
1023,26.954
1024,26.99
1025,27.066
1026,27.26
1027,27.204
1028,27.296
1029,27.234
1030,27.443
1031,27.545
1032,27.55
1033,27.849
1034,27.788
1035,27.89
1036,27.869
1037,28.042
1038,28.223
1039,28.264
1040,28.239
1041,28.244
1042,28.486
1043,28.516
1044,28.617
1045,28.526
1046,28.561
1047,28.531
1048,28.355
1049,28.234
1050,28.001
1051,27.9
1052,27.93
1053,27.743
1054,27.59
1055,27.743
1056,27.479
1057,27.408
1058,27.423
1059,27.148
1060,27.107
1061,27.015
1062,26.78
1063,26.703
1064,26.739
1065,26.811
1066,26.565
1067,26.555
1068,26.488
1069,26.421
1070,26.319
1071,26.437
1072,26.416
1073,26.375
1074,26.319
1075,26.349
1076,26.272
1077,26.241
1078,26.128
1079,26.015
1080,26.097
1081,25.932
1082,25.927
1083,25.989
1084,25.938
1085,25.876
1086,25.798
1087,25.664
1088,25.757
1089,25.669
1090,25.69
1091,25.607
1092,25.659
1093,25.571
1094,25.509
1095,25.312
1096,25.281
1097,25.307
1098,25.327
1099,25.244
1100,25.182
1101,25.265
1102,25.12
1103,25.198
1104,25.094
1105,25.146
1106,25.203
1107,25.192
1108,25.416
1109,25.416
1110,25.4
1111,25.441
1112,25.493
1113,25.488
1114,25.581
1115,25.669
1116,25.716
1117,25.721
1118,25.881
1119,25.654
1120,25.457
1121,25.509
1122,25.519
1123,25.431
1124,25.504
1125,25.473
1126,25.54
1127,25.586
1128,25.529
1129,25.566
1130,25.462
1131,25.54
1132,25.519
1133,25.462
1134,25.509
1135,25.436
1136,25.535
1137,25.333
1138,25.509
1139,25.416
1140,25.369
1141,25.441
1142,25.301
1143,25.218
1144,25.198
1145,25.224
1146,25.244
1147,25.037
1148,25.104
1149,25.166
1150,25.213
1151,25.021
1152,24.948
1153,24.849
1154,24.875
1155,24.834
1156,24.745
1157,24.693
1158,24.75
1159,24.541
1160,24.708
1161,24.828
1162,24.761
1163,25.016
1164,25.011
1165,25.156
1166,25.322
1167,25.338
1168,25.592
1169,25.772
1170,25.685
1171,26.051
1172,26.365
1173,26.355
1174,26.601
1175,26.693
1176,26.621
1177,26.79
1178,26.795
1179,26.785
1180,26.826
1181,27.036
1182,27.015
1183,27.051
1184,27.153
1185,27.229
1186,27.27
1187,27.321
1188,27.438
1189,27.56
1190,27.606
1191,27.443
1192,27.885
1193,27.925
1194,28.062
1195,28.244
1196,28.289
1197,28.35
1198,28.365
1199,28.687
1200,28.617
1201,28.642
1202,28.853
1203,28.752
1204,28.858
1205,28.858
1206,28.853
1207,28.757
1208,28.702
1209,28.455
1210,28.334
1211,28.223
1212,28.234
1213,28.092
1214,27.804
1215,27.849
1216,27.819
1217,27.474
1218,27.489
1219,27.53
1220,27.27
1221,27.127
1222,27.0
1223,26.903
1224,26.811
1225,26.765
1226,26.713
1227,26.637
1228,26.585
1229,26.596
1230,26.58
1231,26.442
1232,26.442
1233,26.344
1234,26.344
1235,26.406
1236,26.252
1237,26.277
1238,26.231
1239,26.108
1240,26.092
1241,26.144
1242,26.051
1243,25.984
1244,25.974
1245,25.886
1246,25.809
1247,25.793
1248,25.876
1249,25.752
1250,25.69
1251,25.571
1252,25.566
1253,25.535
1254,25.514
1255,25.467
1256,25.255
1257,25.182
1258,25.26
1259,25.146
1260,25.213
1261,25.005
1262,25.177
1263,25.089
1264,25.005
1265,25.042
1266,25.229
1267,25.265
1268,25.348
1269,25.421
1270,25.535
1271,25.431
1272,25.623
1273,25.586
1274,25.602
1275,25.648
1276,25.783
1277,25.767
1278,25.767
1279,25.881
1280,25.561
1281,25.581
1282,25.498
1283,25.493
1284,25.447
1285,25.457
1286,25.529
1287,25.524
1288,25.566
1289,25.519
1290,25.623
1291,25.597
1292,25.592
1293,25.747
1294,25.54
1295,25.498
1296,25.566
1297,25.421
1298,25.431
1299,25.441
1300,25.447
1301,25.447
1302,25.307
1303,25.26
1304,25.343
1305,25.379
1306,25.296
1307,25.192
1308,25.244
1309,25.146
1310,25.187
1311,25.172
1312,25.182
1313,25.161
1314,25.192
1315,25.177
1316,24.912
1317,24.906
1318,24.875
1319,24.849
1320,24.953
1321,24.969
1322,25.0
1323,25.0
1324,25.166
1325,25.255
1326,25.312
1327,25.41
1328,25.654
1329,25.881
1330,25.963
1331,26.118
1332,26.349
1333,26.544
1334,26.601
1335,26.744
1336,26.826
1337,27.0
1338,26.898
1339,27.046
1340,27.081
1341,27.041
1342,27.097
1343,27.163
1344,27.346
1345,27.352
