,0
0,25.473
1,25.312
2,25.473
3,25.41
4,25.416
5,25.452
6,25.421
7,25.509
8,25.488
9,25.447
10,25.493
11,25.498
12,25.488
13,25.473
14,25.307
15,25.488
16,25.39
17,25.436
18,25.416
19,25.364
20,25.369
21,25.426
22,25.291
23,25.327
24,25.395
25,25.41
26,25.4
27,25.467
28,25.426
29,25.416
30,25.447
31,25.478
32,25.529
33,25.369
34,25.478
35,25.664
36,25.602
37,25.586
38,25.7
39,25.654
40,25.695
41,25.705
42,25.803
43,25.742
44,25.865
45,25.896
46,25.736
47,25.793
48,25.855
49,25.814
50,25.871
51,25.84
52,25.824
53,25.922
54,26.051
55,25.974
56,26.056
57,26.066
58,26.108
59,26.159
60,26.118
61,26.118
62,26.077
63,26.195
64,26.216
65,26.339
66,26.257
67,26.339
68,26.375
69,26.319
70,26.411
71,26.375
72,26.483
73,26.467
74,26.514
75,26.585
76,26.683
77,26.76
78,26.867
79,26.882
80,27.03
81,26.995
82,27.03
83,27.076
84,27.29
85,27.255
86,27.331
87,27.321
88,27.357
89,27.296
90,27.346
91,27.25
92,27.336
93,27.275
94,27.153
95,27.087
96,27.189
97,27.132
98,27.041
99,27.076
100,27.036
101,26.964
102,26.979
103,27.097
104,26.984
105,26.959
106,26.867
107,26.928
108,26.964
109,26.918
110,26.872
111,26.928
112,26.806
113,26.847
114,26.969
115,26.826
116,27.041
117,26.841
118,26.964
119,26.954
120,26.959
121,26.908
122,26.898
123,26.923
124,27.01
125,26.688
126,26.698
127,26.744
128,26.8
129,26.811
130,26.841
131,26.939
132,26.724
133,26.893
134,26.831
135,26.806
136,26.811
137,26.867
138,26.826
139,26.816
140,26.698
141,26.749
142,26.662
143,26.616
144,26.811
145,26.713
146,26.667
147,26.652
148,26.673
149,26.678
150,26.841
151,26.831
152,26.754
153,26.729
154,26.719
155,26.713
156,26.713
157,26.76
158,26.841
159,26.708
160,25.374
161,25.467
162,25.462
163,25.452
164,25.441
165,25.421
166,25.478
167,25.431
168,25.54
169,25.431
170,25.561
171,25.483
172,25.436
173,25.478
174,25.473
175,25.374
176,25.504
177,25.473
178,25.488
179,25.493
180,25.353
181,25.333
182,25.374
183,25.333
184,25.296
185,25.395
186,25.426
187,25.359
188,25.473
189,25.478
190,25.498
191,25.395
192,25.55
193,25.617
194,25.555
195,25.561
196,25.705
197,25.659
198,25.648
199,25.659
200,25.788
201,25.71
202,25.742
203,25.85
204,25.896
205,25.938
206,25.778
207,25.809
208,25.953
209,25.845
210,25.86
211,25.896
212,25.871
213,25.886
214,25.922
215,25.907
216,25.989
217,26.123
218,26.046
219,26.221
220,26.252
221,26.139
222,26.231
223,26.149
224,26.272
225,26.241
226,26.288
227,26.355
228,26.437
229,26.437
230,26.452
231,26.447
232,26.426
233,26.519
234,26.544
235,26.683
236,26.637
237,26.826
238,26.923
239,26.974
240,27.285
241,27.122
242,27.158
243,27.275
244,27.296
245,27.27
246,27.26
247,27.514
248,27.392
249,27.641
250,27.428
251,27.392
252,27.245
253,27.229
254,27.275
255,27.24
256,27.163
257,27.27
258,27.087
259,27.122
260,26.939
261,26.995
262,27.046
263,27.092
264,26.939
265,26.979
