,0
0,25.581
1,25.535
2,25.54
3,25.519
4,25.555
5,25.623
6,25.561
7,25.617
8,25.545
9,25.571
10,25.602
11,25.612
12,25.436
13,25.664
14,25.695
15,25.69
16,25.71
17,25.664
18,25.654
19,25.84
20,25.71
21,25.726
22,25.772
23,25.747
24,25.912
25,25.871
26,25.783
27,25.84
28,25.963
29,25.932
30,26.082
31,26.113
32,26.216
33,26.159
34,26.262
35,26.355
36,26.355
37,26.339
38,26.411
39,26.591
40,26.606
41,26.734
42,26.816
43,26.877
44,26.939
45,27.092
46,27.229
47,27.219
48,27.331
49,27.408
50,27.53
51,27.57
52,27.692
53,27.814
54,27.814
55,27.9
56,28.274
57,28.314
58,28.46
59,28.546
60,28.652
61,28.988
62,29.299
63,29.528
64,29.588
65,29.767
66,29.772
67,29.912
68,29.912
69,29.937
70,29.937
71,29.892
72,29.777
73,29.608
74,29.304
75,29.023
76,28.943
77,28.757
78,28.556
79,28.279
80,28.274
81,28.067
82,27.9
83,27.91
84,27.743
85,27.677
86,27.636
87,27.362
88,27.382
89,27.372
90,27.204
91,27.122
92,27.158
93,27.092
94,26.959
95,26.954
96,26.908
97,26.867
98,26.811
99,26.847
100,26.775
101,26.775
102,26.724
103,26.662
104,26.749
105,26.647
106,26.57
107,26.611
108,26.555
109,26.544
110,26.39
111,26.596
112,26.524
113,26.478
114,26.493
115,26.529
116,26.385
117,26.421
118,26.205
119,26.426
120,26.252
121,26.283
122,26.406
123,26.396
124,26.262
125,26.211
126,26.108
127,26.334
128,26.236
129,26.272
130,26.159
131,26.02
132,26.252
133,26.072
134,26.205
135,26.252
136,26.133
137,26.288
138,26.19
139,26.277
140,26.288
141,26.077
142,26.103
143,26.103
144,26.046
145,26.18
146,26.061
147,26.046
148,25.912
149,25.917
150,26.02
151,26.061
152,26.077
153,26.082
154,26.046
155,26.128
156,26.066
157,26.03
158,25.984
159,26.056
160,25.571
161,25.592
162,25.592
163,25.602
164,25.535
165,25.669
166,25.555
167,25.55
168,25.509
169,25.561
170,25.643
171,25.488
172,25.643
173,25.617
174,25.721
175,25.648
176,25.679
177,25.705
178,25.654
179,25.747
180,25.726
181,25.778
182,25.731
183,25.881
184,25.778
185,25.834
186,25.917
187,25.84
188,25.907
189,25.917
190,26.185
191,26.252
192,26.19
193,26.211
194,26.39
195,26.37
196,26.421
197,26.519
198,26.544
199,26.596
200,26.739
201,26.765
202,26.754
203,26.903
204,27.076
205,27.224
206,27.275
207,27.346
208,27.479
209,27.458
210,27.626
211,27.692
212,27.778
213,27.976
214,27.961
215,28.117
216,28.112
217,28.37
218,28.586
219,28.722
220,28.953
221,29.204
222,29.329
223,29.653
224,29.628
225,29.797
226,29.787
227,29.927
228,29.942
229,29.907
230,29.922
231,29.956
232,29.887
233,29.832
234,29.588
235,29.369
236,28.988
237,28.782
238,28.777
239,28.39
240,28.435
241,28.289
242,28.062
243,28.036
244,27.763
245,27.728
246,27.722
247,27.621
248,27.408
249,27.336
250,27.418
251,27.357
252,27.204
253,27.138
254,27.107
255,27.127
256,26.959
257,26.964
258,26.811
259,26.933
260,26.775
261,26.744
262,26.749
263,26.673
264,26.626
265,26.713
266,26.739
267,26.647
268,26.621
269,26.606
270,26.626
271,26.432
272,26.565
273,26.421
274,26.39
275,26.467
276,26.39
277,26.503
278,26.39
279,26.38
280,26.262
281,26.416
282,26.308
283,26.272
284,26.329
285,26.19
286,26.252
287,26.298
288,26.164
289,26.349
290,26.262
291,26.139
292,26.185
293,26.169
294,26.118
295,26.262
296,26.185
297,26.149
298,26.169
299,26.257
300,26.231
301,26.108
302,26.01
303,26.041
304,26.087
305,26.144
306,26.108
307,25.984
308,26.072
309,26.066
310,26.108
311,26.154
312,26.097
313,26.113
314,26.01
315,26.03
316,26.118
317,26.072
318,25.922
319,26.066
320,25.55
321,25.535
322,25.623
323,25.545
324,25.659
325,25.586
326,25.586
327,25.679
328,25.633
329,25.473
330,25.498
331,25.509
332,25.633
333,25.669
334,25.617
335,25.612
336,25.643
337,25.716
338,25.716
339,25.772
340,25.736
341,25.731
342,25.778
343,25.845
344,25.731
345,25.752
346,25.865
347,25.819
348,25.902
349,26.205
350,26.2
351,26.169
352,26.18
353,26.205
354,26.36
355,26.293
356,26.55
357,26.57
358,26.739
359,26.688
360,26.785
361,26.882
362,26.857
363,27.005
364,27.153
365,27.387
366,27.382
367,27.601
368,27.555
369,27.697
370,27.601
371,27.799
372,27.844
373,27.875
374,28.148
375,28.279
376,28.375
377,28.46
378,28.637
379,28.963
380,29.188
381,29.289
382,29.339
383,29.433
384,29.723
385,29.753
386,29.872
387,29.902
388,29.971
389,29.956
390,29.852
391,29.922
392,29.937
393,29.842
394,29.758
395,29.583
396,29.369
397,29.118
398,28.818
399,28.712
400,28.561
401,28.41
402,28.405
403,28.158
404,28.102
405,27.854
406,27.662
407,27.707
408,27.651
409,27.519
410,27.54
411,27.321
412,27.336
413,27.234
414,27.071
415,26.939
416,26.831
417,27.178
418,26.893
419,26.877
420,26.821
421,26.918
422,26.847
423,26.765
424,26.683
425,26.58
426,26.744
427,26.647
428,26.678
429,26.596
430,26.483
431,26.539
432,26.555
433,26.596
434,26.498
435,26.514
436,26.18
437,26.509
438,26.303
439,26.406
440,26.267
441,26.411
442,26.308
443,26.277
444,26.319
445,26.308
446,26.313
447,26.169
448,26.144
449,26.19
450,26.247
451,26.349
452,26.426
453,26.329
454,26.355
455,26.144
456,26.185
457,26.185
458,26.113
459,26.205
460,26.03
461,26.108
462,26.03
463,26.2
464,26.108
465,26.154
466,26.046
467,26.056
468,26.056
469,25.927
470,26.241
471,26.056
472,26.087
473,26.154
474,26.046
475,26.056
476,26.123
477,26.01
478,25.943
479,25.963
480,25.69
481,25.654
482,25.55
483,25.581
484,25.628
485,25.69
486,25.555
487,25.788
488,25.788
489,25.519
490,25.612
491,25.54
492,25.674
493,25.617
494,25.633
495,25.695
496,25.736
497,25.7
498,25.7
499,25.767
500,25.69
501,25.736
502,25.772
503,25.783
504,25.922
505,25.757
506,25.86
507,25.865
508,25.896
509,26.139
510,26.298
511,26.257
512,26.288
513,26.319
514,26.426
515,26.349
516,26.621
517,26.575
518,26.719
519,26.76
520,26.887
521,26.954
522,26.995
523,27.148
524,27.189
525,27.408
526,27.479
527,27.58
528,27.722
529,27.814
530,27.773
531,27.93
532,28.127
533,28.294
534,28.319
535,28.375
536,28.632
537,28.697
538,28.998
539,29.153
540,29.183
541,29.408
542,29.398
543,29.533
544,29.623
545,29.733
546,29.713
547,29.857
548,29.912
549,29.966
550,30.026
551,29.976
552,29.996
553,29.902
554,29.762
555,29.608
556,29.563
557,29.173
558,29.003
559,28.782
560,28.762
561,28.46
562,28.41
563,28.385
564,28.107
565,28.127
566,28.026
567,27.991
568,27.788
569,27.646
570,27.453
571,27.433
572,27.346
573,27.367
574,27.148
575,27.143
576,27.005
577,27.163
578,26.944
579,26.903
580,27.051
581,26.918
582,26.857
583,26.688
584,26.8
585,26.724
586,26.688
587,26.606
588,26.621
589,26.632
590,26.529
591,26.575
592,26.488
593,26.555
594,26.606
595,26.519
596,26.529
597,26.473
598,26.467
599,26.324
600,26.442
601,26.272
602,26.37
603,26.236
604,26.385
605,26.231
606,26.293
607,26.257
608,26.113
609,26.252
610,26.19
611,26.133
612,26.308
613,26.226
614,26.231
615,26.2
616,26.133
617,26.195
618,26.144
619,26.231
620,26.18
621,26.118
622,26.061
623,26.077
624,26.149
625,26.118
626,26.19
627,26.092
628,26.164
629,26.061
630,26.103
631,26.082
632,26.082
633,26.108
634,26.066
635,26.056
636,26.056
637,25.974
638,26.041
639,26.005
640,25.555
641,25.679
642,25.638
643,25.633
644,25.654
645,25.612
