,0
0,25.374
1,25.307
2,25.296
3,25.276
4,25.374
5,25.301
6,25.291
7,25.281
8,25.353
9,25.317
10,25.327
11,25.421
12,25.364
13,25.457
14,25.384
15,25.483
16,25.426
17,25.483
18,25.452
19,25.504
20,25.473
21,25.545
22,25.431
23,25.602
24,25.638
25,25.54
26,25.493
27,25.576
28,25.586
29,25.648
30,25.607
31,25.55
32,25.561
33,25.71
34,25.752
35,25.736
36,25.788
37,25.767
38,25.798
39,25.871
40,25.834
41,25.855
42,25.917
43,25.938
44,25.855
45,26.205
46,25.943
47,26.025
48,26.154
49,26.175
50,26.221
51,26.108
52,26.216
53,26.319
54,26.365
55,26.426
56,26.58
57,26.498
58,26.529
59,26.57
60,26.56
61,26.693
62,26.688
63,26.754
64,26.77
65,26.995
66,26.995
67,27.153
68,27.173
69,27.29
70,27.428
71,27.54
72,27.788
73,28.021
74,28.117
75,28.178
76,28.35
77,28.622
78,28.908
79,29.433
80,29.852
81,30.006
82,30.155
83,30.185
84,30.334
85,30.329
86,30.403
87,30.517
88,30.576
89,30.403
90,30.061
91,29.588
92,29.533
93,29.249
94,29.264
95,29.138
96,29.013
97,28.903
98,28.818
99,28.622
100,28.476
101,28.395
102,28.254
103,28.223
104,27.981
105,27.996
106,27.991
107,27.814
108,27.854
109,27.672
110,27.667
111,27.458
112,27.448
113,27.28
114,27.413
115,27.219
116,27.143
117,27.132
118,27.29
119,27.015
120,26.949
121,26.857
122,26.893
123,26.923
124,26.754
125,26.688
126,26.637
127,26.703
128,26.647
129,26.693
130,26.509
131,26.37
132,26.303
133,26.385
134,26.36
135,26.421
136,26.365
137,26.344
138,26.231
139,26.211
140,26.241
141,26.169
142,26.087
143,26.154
144,26.164
145,26.087
146,26.092
147,26.123
148,26.139
149,26.082
150,26.077
151,26.128
152,26.03
153,26.036
154,26.03
155,25.994
156,26.015
157,26.025
158,25.994
159,25.943
160,25.265
161,25.307
162,25.286
163,25.359
164,25.374
165,25.218
166,25.327
167,25.421
168,25.317
169,25.379
170,25.4
171,25.39
172,25.447
173,25.395
174,25.514
175,25.244
176,25.483
177,25.54
178,25.478
179,25.498
180,25.659
181,25.431
182,25.555
183,25.7
184,25.561
185,25.628
186,25.561
187,25.659
188,25.478
189,25.628
190,25.602
191,25.643
192,25.623
193,25.736
194,25.783
195,25.788
196,25.747
197,25.798
198,25.648
199,25.881
200,25.938
201,25.814
202,25.958
203,25.907
204,25.994
205,26.025
206,26.149
207,25.932
208,26.175
209,26.133
210,26.221
211,26.185
212,26.339
213,26.432
214,26.473
215,26.462
216,26.503
217,26.539
218,26.626
219,26.539
220,26.601
221,26.729
222,26.806
