,0
0,25.25
1,25.239
2,25.12
3,25.161
4,25.166
5,25.198
6,25.255
7,25.27
8,25.187
9,25.239
10,25.146
11,25.265
12,25.25
13,25.208
14,25.276
15,25.41
16,25.255
17,25.286
18,25.353
19,25.27
20,25.265
21,25.255
22,25.353
23,25.327
24,25.364
25,25.359
26,25.338
27,25.452
28,25.374
29,25.421
30,25.39
31,25.519
32,25.426
33,25.359
34,25.41
35,25.416
36,25.416
37,25.452
38,25.452
39,25.478
40,25.478
41,25.514
42,25.519
43,25.555
44,25.514
45,25.426
46,25.648
47,25.617
48,25.602
49,25.674
50,25.607
51,25.633
52,25.633
53,25.674
54,25.731
55,25.731
56,25.726
57,25.783
58,25.757
59,25.824
60,25.917
61,25.927
62,25.783
63,25.824
64,25.674
65,25.845
66,25.834
67,25.865
68,25.71
69,25.798
70,25.886
71,25.845
72,26.005
73,25.783
74,25.86
75,25.974
76,25.989
77,25.943
78,26.0
79,26.118
80,26.123
81,26.19
82,26.211
83,26.349
84,26.36
85,26.355
86,26.329
87,26.262
88,26.478
89,26.565
90,26.606
91,26.729
92,26.831
93,26.836
94,26.872
95,27.382
96,27.743
97,27.966
98,28.264
99,28.355
100,28.772
101,28.928
102,29.048
103,29.128
104,28.963
105,28.742
106,28.319
107,28.006
108,27.753
109,27.489
110,27.341
111,27.061
112,26.99
113,26.754
114,26.923
115,26.775
116,26.76
117,26.78
118,26.708
119,26.739
120,26.734
121,26.698
122,26.713
123,26.657
124,26.652
125,26.55
126,26.575
127,26.611
128,26.591
129,26.503
130,26.503
131,26.483
132,26.56
133,26.462
134,26.534
135,26.447
136,26.313
137,26.38
138,26.319
139,26.252
140,26.339
141,26.36
142,26.252
143,26.277
144,26.277
145,26.241
146,26.19
147,26.303
148,26.221
149,26.128
150,26.205
151,26.231
152,26.185
153,26.2
154,26.257
155,26.293
156,26.164
157,26.144
158,26.123
159,26.113
160,25.26
161,25.192
162,25.187
163,25.239
164,25.12
165,25.172
166,25.166
167,25.244
168,25.25
169,25.276
170,25.27
171,25.301
172,25.244
173,25.286
174,25.39
175,25.255
176,25.229
177,25.436
