,0
0,25.592
1,25.504
2,25.447
3,25.623
4,25.612
5,25.514
6,25.602
7,25.643
8,25.638
9,25.643
10,25.617
11,25.793
12,25.752
13,25.69
14,25.736
15,25.84
16,25.855
17,25.876
18,25.819
19,26.015
20,25.943
21,25.963
22,25.927
23,26.005
24,25.984
25,25.865
26,26.036
27,26.123
28,26.097
29,25.994
30,26.092
31,26.195
32,26.169
33,26.149
34,26.247
35,26.195
36,26.103
37,26.324
38,26.262
39,26.313
40,26.329
41,26.396
42,26.411
43,26.421
44,26.539
45,26.498
46,26.56
47,26.719
48,26.719
49,26.724
50,26.76
51,26.79
52,26.811
53,26.893
54,26.969
55,26.959
56,27.148
57,27.194
58,27.316
59,27.453
60,27.484
61,27.585
62,27.677
63,27.966
64,28.133
65,28.44
66,28.818
67,29.133
68,29.513
69,30.011
70,30.398
71,30.764
72,30.956
73,31.148
74,31.202
75,31.162
76,30.907
77,30.581
78,30.165
79,29.817
80,29.388
81,29.053
82,28.813
83,28.445
84,28.309
85,28.057
86,27.981
87,27.971
88,27.738
89,27.616
90,27.611
91,27.494
92,27.535
93,27.499
94,27.352
95,27.352
96,27.27
97,27.285
98,27.229
99,27.27
100,27.071
101,27.163
102,27.163
103,27.087
104,27.092
105,27.127
106,27.056
107,27.02
108,27.112
109,26.969
110,26.933
111,26.918
112,26.882
113,26.893
114,26.831
115,26.816
116,26.816
117,26.995
118,26.78
119,26.703
120,26.816
121,26.8
122,26.775
123,26.765
124,26.724
125,26.703
126,26.688
127,26.683
128,26.688
129,26.519
130,26.57
131,26.621
132,26.601
133,26.406
134,26.447
135,26.39
136,26.421
137,26.457
138,26.205
139,26.319
140,26.277
141,26.236
142,26.308
143,26.231
144,26.226
145,26.113
146,26.097
147,26.113
148,26.015
149,26.046
150,26.164
151,26.077
152,26.108
153,26.149
154,26.082
155,26.097
156,26.103
157,25.917
158,25.953
159,25.994
160,25.597
161,25.535
162,25.529
163,25.659
164,25.597
165,25.623
166,25.648
167,25.731
168,25.597
169,25.643
170,25.638
171,25.664
172,25.716
173,25.685
174,25.767
175,25.71
176,25.643
177,25.803
178,25.886
179,25.865
180,25.979
181,25.958
182,25.969
183,25.989
184,26.087
185,26.144
186,26.041
187,26.139
188,26.123
189,26.216
190,26.097
191,26.18
192,26.185
193,26.133
194,26.221
195,26.288
196,26.185
197,26.241
198,26.334
199,26.339
200,26.329
201,26.524
202,26.339
203,26.529
204,26.519
205,26.457
206,26.555
207,26.693
208,26.657
209,26.749
210,26.816
211,26.852
212,26.775
213,26.882
214,27.071
215,26.979
216,27.138
217,27.158
218,27.408
219,27.408
220,27.463
221,27.707
222,27.733
223,28.021
224,28.183
225,28.355
226,28.808
227,29.048
228,29.688
229,29.996
230,30.388
231,30.813
232,31.207
233,31.162
234,31.153
235,31.148
236,30.887
237,30.591
238,30.14
239,29.897
240,29.603
241,29.113
242,28.682
243,28.516
244,28.314
245,28.036
246,27.956
247,27.748
248,27.682
249,27.606
250,27.621
251,27.57
252,27.524
253,27.362
254,27.285
255,27.265
256,27.229
257,27.28
258,27.245
259,27.173
260,27.173
261,27.061
262,27.102
263,27.148
264,27.02
265,27.071
266,26.984
267,26.913
268,26.969
269,26.908
270,26.984
271,26.933
272,26.928
273,26.939
274,26.847
275,26.831
276,26.811
277,26.8
278,26.898
279,26.795
280,26.683
281,26.816
282,26.683
283,26.862
284,26.647
285,26.652
286,26.529
287,26.729
288,26.58
289,26.503
290,26.693
291,26.473
292,26.349
293,26.642
294,26.457
295,26.38
296,26.473
297,26.262
298,26.308
299,26.303
300,26.303
301,26.355
302,26.401
303,26.344
304,26.344
305,26.277
306,26.288
307,26.082
308,26.241
309,26.025
310,26.082
311,26.077
312,26.087
313,26.0
314,25.953
315,26.154
316,26.02
317,26.072
318,25.984
319,26.0
320,25.348
321,25.514
322,25.457
323,25.638
324,25.566
325,25.602
326,25.664
327,25.514
328,25.633
329,25.633
330,25.648
331,25.685
332,25.742
333,25.7
334,25.772
335,25.778
336,25.767
337,25.798
338,25.798
339,25.845
340,25.86
341,25.886
342,25.969
343,25.922
344,25.969
345,26.066
346,26.128
347,26.097
348,26.159
349,26.128
350,26.097
351,26.154
352,26.231
353,26.216
354,26.18
355,26.139
356,26.293
357,26.344
358,26.19
359,26.355
360,26.288
361,26.339
362,26.39
363,26.509
364,26.493
365,26.539
366,26.652
367,26.509
368,26.688
369,26.831
370,26.831
371,26.8
372,26.826
373,27.0
374,27.0
375,27.173
376,27.076
377,27.199
378,27.372
379,27.509
380,27.504
381,27.682
382,27.95
383,27.92
384,28.178
385,28.319
386,28.843
387,29.264
388,29.708
389,29.976
390,30.601
391,30.838
392,30.921
393,31.153
394,31.162
395,31.01
396,30.872
397,30.546
398,30.239
399,29.842
400,29.314
401,29.133
402,28.752
403,28.46
404,28.249
405,27.925
406,27.996
407,27.783
408,27.606
409,27.479
410,27.53
411,27.504
412,27.484
413,27.402
414,27.316
415,27.224
416,27.245
417,27.285
418,27.296
419,27.168
420,27.148
421,27.138
422,27.076
423,27.015
424,27.132
425,26.928
426,27.041
427,26.964
428,26.918
429,26.933
430,26.995
431,26.898
432,26.964
433,26.713
434,26.765
435,26.811
436,26.724
437,26.841
438,26.78
439,26.77
440,26.647
441,26.765
442,26.729
443,26.775
444,26.903
445,26.662
446,26.683
447,26.642
448,26.601
449,26.539
450,26.606
451,26.478
452,26.426
453,26.565
454,26.365
455,26.313
456,26.319
457,26.355
458,26.406
459,26.385
460,26.277
461,26.257
462,26.329
463,26.226
464,26.283
465,26.241
466,26.37
467,26.298
468,26.216
469,26.066
470,26.077
471,26.113
472,26.087
473,26.077
474,26.108
475,25.974
476,25.943
477,25.994
478,26.087
479,25.974
480,25.504
481,25.478
482,25.648
483,25.659
484,25.623
485,25.638
486,25.772
487,25.623
488,25.597
489,25.783
490,25.757
491,25.762
492,25.695
493,25.623
494,25.788
495,25.783
496,25.845
497,25.726
498,25.783
499,25.793
500,25.932
501,26.082
502,26.046
503,26.108
504,25.979
505,25.932
506,26.092
507,26.18
508,26.082
509,26.154
510,26.175
511,26.226
512,26.308
513,26.262
514,26.236
515,26.39
516,26.277
517,26.257
518,26.293
519,26.339
520,26.452
521,26.38
522,26.483
523,26.478
524,26.56
525,26.611
526,26.606
527,26.734
528,26.688
529,26.754
530,26.841
531,26.831
532,26.841
533,27.056
534,27.01
535,27.066
536,27.122
537,27.301
538,27.484
539,27.474
540,27.662
541,27.687
542,27.839
543,28.026
544,28.365
545,28.531
546,28.873
547,29.188
548,29.792
549,30.051
550,30.581
551,30.985
552,31.108
553,31.315
554,31.138
555,31.167
556,31.005
557,30.566
558,30.225
559,29.802
560,29.413
561,29.128
562,28.787
563,28.606
564,28.193
